<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

KBahman Inv. Mng.,20260722, 2693.00, 2749.00, 2652.00, 2691.00,6010637554.00, 2233197,274,D,2734.00,2740.00
KBahman Inv. Mng.,20260721, 2669.00, 2740.00, 2669.00, 2734.00,13648519022.00, 4992545,451,D,2661.00,2739.00
KBahman Inv. Mng.,20260720, 2542.00, 2670.00, 2542.00, 2661.00,9428106445.00, 3543153,391,D,2593.00,2669.00
KBahman Inv. Mng.,20260719, 2598.00, 2610.00, 2526.00, 2593.00,17031585371.00, 6567231,297,D,2603.00,2549.00
KBahman Inv. Mng.,20260718, 2603.00, 2608.00, 2603.00, 2603.00,76069368609.00, 29223674,268,D,2683.00,2603.00
KBahman Inv. Mng.,20260715, 2664.00, 2730.00, 2652.00, 2683.00,82097249654.00, 30595169,630,D,2692.00,2652.00
KBahman Inv. Mng.,20260714, 2598.00, 2758.00, 2598.00, 2692.00,58070060334.00, 21574037,664,D,2678.00,2662.00
KBahman Inv. Mng.,20260713, 2676.00, 2752.00, 2676.00, 2678.00,134580808862.00, 50262001,626,D,2758.00,2697.00
KBahman Inv. Mng.,20260712, 2758.00, 2758.00, 2758.00, 2758.00,6346814404.00, 2301238,38,D,2843.00,2758.00
KBahman Inv. Mng.,20260711, 2843.00, 2843.00, 2843.00, 2843.00,36754946518.00, 12928226,621,D,2930.00,2843.00
KBahman Inv. Mng.,20260708, 2951.00, 2951.00, 2781.00, 2930.00,101203500669.00, 34534817,762,D,2866.00,2791.00
KBahman Inv. Mng.,20260707, 2850.00, 2866.00, 2850.00, 2866.00,134231825182.00, 46837259,627,D,2783.00,2866.00
KBahman Inv. Mng.,20260701, 2810.00, 2821.00, 2762.00, 2783.00,34974973263.00, 12567604,781,D,2774.00,2819.00
KBahman Inv. Mng.,20260630, 2846.00, 2846.00, 2682.00, 2774.00,65270213265.00, 23528470,527,D,2764.00,2833.00
KBahman Inv. Mng.,20260629, 0.00, 0.00, 0.00, 2824.00,0.00, 0,0,D,2824.00,2838.00
KBahman Inv. Mng.,20260628, 0.00, 0.00, 0.00, 2824.00,0.00, 0,0,D,2824.00,2838.00
KBahman Inv. Mng.,20260627, 0.00, 0.00, 0.00, 2824.00,0.00, 0,0,D,2824.00,2838.00
KBahman Inv. Mng.,20260623, 2712.00, 2838.00, 2712.00, 2824.00,93793976020.00, 33210850,938,D,2756.00,2838.00
KBahman Inv. Mng.,20260622, 2755.00, 2790.00, 2755.00, 2756.00,43753200267.00, 15873123,535,D,2840.00,2790.00
KBahman Inv. Mng.,20260621, 2850.00, 2919.00, 2777.00, 2840.00,24006070683.00, 8453443,464,D,2862.00,2777.00
KBahman Inv. Mng.,20260620, 2887.00, 2887.00, 2723.00, 2862.00,79808700135.00, 27886700,1108,D,2803.00,2887.00
KBahman Inv. Mng.,20260617, 2800.00, 2862.00, 2696.00, 2803.00,44340618995.00, 15818582,901,D,2779.00,2862.00
KBahman Inv. Mng.,20260616, 2792.00, 2792.00, 2711.00, 2779.00,35669503303.00, 12837395,798,D,2711.00,2722.00
KBahman Inv. Mng.,20260615, 2711.00, 2711.00, 2711.00, 2711.00,12384626057.00, 4568287,534,D,2633.00,2711.00
KBahman Inv. Mng.,20260614, 2633.00, 2633.00, 2633.00, 2633.00,11355107396.00, 4312612,494,D,2557.00,2633.00
KBahman Inv. Mng.,20260613, 2555.00, 2559.00, 2555.00, 2557.00,13525520790.00, 5288666,459,D,2485.00,2559.00
KBahman Inv. Mng.,20260610, 2494.00, 2494.00, 2401.00, 2485.00,29570565341.00, 11901965,884,D,2422.00,2494.00
KBahman Inv. Mng.,20260609, 2353.00, 2422.00, 2353.00, 2422.00,7140312545.00, 2948489,481,D,2352.00,2422.00
KBahman Inv. Mng.,20260608, 2352.00, 2364.00, 2352.00, 2352.00,15566106392.00, 6618237,195,D,2424.00,2352.00
KBahman Inv. Mng.,20260607, 2303.00, 2428.00, 2303.00, 2424.00,13264762001.00, 5471613,482,D,2358.00,2428.00
KBahman Inv. Mng.,20260606, 2303.00, 2420.00, 2303.00, 2358.00,3002444470.00, 1273513,409,D,2372.00,2391.00
KBahman Inv. Mng.,20260603, 2328.00, 2405.00, 2326.00, 2372.00,9002077572.00, 3794691,562,D,2397.00,2379.00
KBahman Inv. Mng.,20260602, 2390.00, 2448.00, 2363.00, 2397.00,26620409891.00, 11104073,711,D,2436.00,2415.00
