<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

Kahroba,20260722, 180000.00, 180150.00, 178351.00, 179600.00,3616890136027.00, 20138550,9337,D,175318.00,179501.00
Kahroba,20260721, 174100.00, 176200.00, 174010.00, 175318.00,2682912230559.00, 15303114,7626,D,173016.00,176112.00
Kahroba,20260720, 172888.00, 174299.00, 171900.00, 173016.00,4015720593443.00, 23210165,12517,D,178735.00,172900.00
Kahroba,20260719, 179900.00, 180099.00, 178000.00, 178735.00,4160196297736.00, 23275713,11777,D,181892.00,178297.00
Kahroba,20260718, 184000.00, 184000.00, 180969.00, 181892.00,9716883000463.00, 53421277,15469,D,178295.00,182782.00
Kahroba,20260715, 178200.00, 179298.00, 177400.00, 178295.00,5394744701503.00, 30257476,13414,D,172338.00,178119.00
Kahroba,20260714, 170700.00, 173110.00, 170700.00, 172338.00,4691789879928.00, 27224368,9635,D,169040.00,172950.00
Kahroba,20260713, 169882.00, 169882.00, 168560.00, 169040.00,1619996023886.00, 9583484,6817,D,170636.00,169300.00
Kahroba,20260712, 170310.00, 171990.00, 169943.00, 170636.00,3232973815536.00, 18946583,8714,D,168632.00,170040.00
Kahroba,20260711, 169980.00, 169980.00, 167909.00, 168632.00,3364744207972.00, 19953197,9318,D,172430.00,168823.00
Kahroba,20260708, 171711.00, 173984.00, 171160.00, 172430.00,4266422935055.00, 24742933,11245,D,168004.00,171800.00
Kahroba,20260707, 167040.00, 169298.00, 166505.00, 168004.00,3886495495415.00, 23133401,10702,D,163987.00,168895.00
Kahroba,20260701, 163500.00, 164400.00, 162800.00, 163987.00,5676685604766.00, 34616779,11636,D,159237.00,163999.00
Kahroba,20260630, 158500.00, 161370.00, 158033.00, 159237.00,3173214017731.00, 19927657,7803,D,158542.00,160090.00
Kahroba,20260629, 159000.00, 159999.00, 157000.00, 158542.00,6090157501758.00, 38413599,12684,D,160875.00,157521.00
Kahroba,20260628, 158090.00, 162886.00, 158090.00, 160875.00,6412906176896.00, 39862620,15622,D,154948.00,162750.00
Kahroba,20260627, 155500.00, 155500.00, 154000.00, 154948.00,3996953236178.00, 25795391,9498,D,151627.00,154256.00
Kahroba,20260623, 151500.00, 152549.00, 150300.00, 151627.00,2829734999921.00, 18662422,8984,D,152354.00,151699.00
Kahroba,20260622, 153000.00, 153724.00, 151366.00, 152354.00,2605322290590.00, 17100500,9552,D,152293.00,151495.00
Kahroba,20260621, 155100.00, 155100.00, 151412.00, 152293.00,6025435362581.00, 39564819,16954,D,157216.00,151935.00
Kahroba,20260620, 160000.00, 160000.00, 154799.00, 157216.00,4672161383066.00, 29718157,15380,D,155847.00,157150.00
Kahroba,20260617, 153898.00, 157280.00, 153898.00, 155847.00,4485972453294.00, 28784457,16353,D,153903.00,155850.00
Kahroba,20260616, 156771.00, 156771.00, 151140.00, 153903.00,5761824015237.00, 37437983,24389,D,158996.00,151530.00
Kahroba,20260615, 155100.00, 160288.00, 155020.00, 158996.00,6154832437602.00, 38710707,20554,D,161890.00,158270.00
Kahroba,20260614, 160567.00, 164983.00, 158970.00, 161890.00,5709974056025.00, 35270716,20012,D,163733.00,164880.00
Kahroba,20260613, 165690.00, 165690.00, 160400.00, 163733.00,8680051319742.00, 53013580,31394,D,170278.00,161158.00
Kahroba,20260610, 169800.00, 171220.00, 169000.00, 170278.00,4913507486080.00, 28855866,11902,D,172817.00,170759.00
Kahroba,20260609, 173220.00, 173659.00, 171500.00, 172817.00,4635123822198.00, 26820955,12773,D,173185.00,171750.00
Kahroba,20260608, 175747.00, 175747.00, 171700.00, 173185.00,6682815569150.00, 38587638,13929,D,175748.00,173610.00
Kahroba,20260607, 174500.00, 177200.00, 174050.00, 175748.00,4174237138300.00, 23751261,11590,D,172584.00,176845.00
Kahroba,20260606, 173505.00, 174000.00, 171983.00, 172584.00,5227404424676.00, 30288991,14857,D,177582.00,172402.00
Kahroba,20260603, 177942.00, 178450.00, 176130.00, 177582.00,5166051513449.00, 29091061,10105,D,177942.00,177500.00
Kahroba,20260602, 178800.00, 178998.00, 176601.00, 177942.00,7230553446388.00, 40634325,10244,D,176531.00,176852.00
Kahroba,20260601, 175300.00, 179350.00, 174501.00, 176531.00,5232198010675.00, 29638899,12763,D,172009.00,179346.00
Kahroba,20260531, 171000.00, 172620.00, 170800.00, 172009.00,3116975592942.00, 18120961,9068,D,170792.00,172620.00
Kahroba,20260530, 171001.00, 171650.00, 169100.00, 170792.00,9773511529082.00, 57224514,15785,D,172965.00,171201.00
Kahroba,20260526, 174000.00, 174000.00, 172350.00, 172965.00,4669807634481.00, 26998574,11216,D,176448.00,172821.00
Kahroba,20260525, 178999.00, 179500.00, 171762.00, 176448.00,10063543390544.00, 57034141,18536,D,171770.00,173678.00
Kahroba,20260524, 171000.00, 173798.00, 170418.00, 171770.00,9173329105596.00, 53404600,24164,D,179731.00,173500.00
Kahroba,20260523, 183380.00, 183380.00, 178277.00, 179731.00,8041229135230.00, 44740338,22748,D,184630.00,179600.00
Kahroba,20260520, 182000.00, 186110.00, 181750.00, 184630.00,5570428530005.00, 30170710,11282,D,182279.00,184988.00
Kahroba,20260519, 183001.00, 183500.00, 180844.00, 182279.00,4954016904008.00, 27178237,14035,D,183913.00,181750.00
Kahroba,20260518, 185080.00, 185500.00, 181603.00, 183913.00,5557301010955.00, 30216975,21055,D,187811.00,183300.00
Kahroba,20260517, 188001.00, 188399.00, 187038.00, 187811.00,6098225490367.00, 32470058,13865,D,188147.00,187320.00
Kahroba,20260516, 188020.00, 189703.00, 187000.00, 188147.00,7348874932718.00, 39059216,17214,D,191050.00,188160.00
Kahroba,20260513, 190800.00, 191999.00, 190326.00, 191050.00,7536156624732.00, 39445900,15054,D,194598.00,191820.00
Kahroba,20260512, 197464.00, 197490.00, 193400.00, 194598.00,9373752629813.00, 48169745,23165,D,195979.00,193691.00
Kahroba,20260511, 194000.00, 197436.00, 193501.00, 195979.00,10809817709860.00, 55158120,17317,D,189751.00,197199.00
Kahroba,20260510, 190500.00, 190500.00, 189290.00, 189751.00,11518066854452.00, 60700888,17789,D,190773.00,190430.00
Kahroba,20260509, 192000.00, 192200.00, 190000.00, 190773.00,14525731652301.00, 76141243,20537,D,189603.00,191400.00
Kahroba,20260506, 193499.00, 193999.00, 183861.00, 189603.00,19027698656576.00, 100355548,30885,D,192323.00,188195.00
Kahroba,20260505, 193801.00, 194800.00, 189295.00, 192323.00,13534853750324.00, 70375515,32041,D,200248.00,189999.00
Kahroba,20260504, 203000.00, 203000.00, 197989.00, 200248.00,17614306734363.00, 87962544,33478,D,203796.00,198750.00
Kahroba,20260503, 206666.00, 206700.00, 202500.00, 203796.00,22343562771302.00, 109637008,29734,D,201790.00,204600.00
Kahroba,20260502, 204400.00, 204400.00, 200000.00, 201790.00,24951243776748.00, 123649327,26660,D,197646.00,202233.00
Kahroba,20260429, 202755.00, 202755.00, 192500.00, 197646.00,18804209635279.00, 95140688,26020,D,184325.00,195220.00
Kahroba,20260428, 181997.00, 187855.00, 181997.00, 184325.00,20224588311332.00, 109722603,21931,D,172466.00,186039.00
Kahroba,20260427, 168088.00, 175930.00, 168088.00, 172466.00,12382817149139.00, 71798676,15120,D,166846.00,175600.00
Kahroba,20260426, 166400.00, 167288.00, 166400.00, 166846.00,3766721363987.00, 22576041,6926,D,166092.00,166938.00
Kahroba,20260425, 166700.00, 166930.00, 165500.00, 166092.00,2715060921709.00, 16346688,6196,D,166310.00,165621.00
Kahroba,20260422, 165300.00, 167266.00, 165000.00, 166310.00,4307506612683.00, 25900410,7983,D,163114.00,166538.00
Kahroba,20260421, 164153.00, 164153.00, 162881.00, 163114.00,2463411385272.00, 15102392,9011,D,164721.00,162957.00
Kahroba,20260420, 165052.00, 165500.00, 163880.00, 164721.00,3220823206734.00, 19553193,7920,D,166213.00,164040.00
Kahroba,20260419, 168000.00, 168400.00, 164700.00, 166213.00,3153698378038.00, 18973809,8876,D,164981.00,165045.00
Kahroba,20260418, 165000.00, 166699.00, 163690.00, 164981.00,4166214955190.00, 25252724,12044,D,170333.00,166470.00
Kahroba,20260415, 170300.00, 171110.00, 169605.00, 170333.00,4529181020251.00, 26590166,9234,D,174121.00,169752.00
Kahroba,20260413, 173400.00, 174998.00, 173400.00, 174121.00,3735360648727.00, 21452665,7174,D,172333.00,173915.00
Kahroba,20260412, 173700.00, 173700.00, 171030.00, 172333.00,5465511116975.00, 31714902,7777,D,168399.00,171200.00
Kahroba,20260411, 170800.00, 170800.00, 166679.00, 168399.00,4354454937679.00, 25857987,9657,D,171666.00,167730.00
Kahroba,20260408, 171000.00, 174600.00, 170000.00, 171666.00,5492259628811.00, 31993891,7330,D,176020.00,173556.00
Kahroba,20260407, 173000.00, 177410.00, 173000.00, 176020.00,5269353307204.00, 29936032,8317,D,170468.00,176010.00
Kahroba,20260406, 170100.00, 171000.00, 169501.00, 170468.00,2741961777089.00, 16084861,4394,D,169899.00,170700.00
Kahroba,20260405, 171380.00, 171890.00, 168555.00, 169899.00,3714995358861.00, 21865886,5813,D,170150.00,169650.00
Kahroba,20260404, 164500.00, 173680.00, 164010.00, 170150.00,5901661286436.00, 34685059,8478,D,163385.00,171380.00
Kahroba,20260331, 164000.00, 164000.00, 163000.00, 163385.00,2454961824145.00, 15025663,3934,D,162763.00,163495.00
Kahroba,20260330, 162790.00, 164000.00, 161555.00, 162763.00,2101898007433.00, 12913877,5004,D,162796.00,161699.00
