<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

Zar,20260722, 790009.00, 793990.00, 785250.00, 789886.00,926024546578.00, 1172352,3075,D,771445.00,789621.00
Zar,20260721, 765500.00, 776053.00, 765500.00, 771445.00,820809769402.00, 1063990,2466,D,762816.00,775907.00
Zar,20260720, 767000.00, 767009.00, 759000.00, 762816.00,1273933259828.00, 1670039,5113,D,789794.00,761002.00
Zar,20260719, 802000.00, 802000.00, 786030.00, 789794.00,1031848488264.00, 1306478,4199,D,804506.00,787202.00
Zar,20260718, 811001.00, 812000.00, 798980.00, 804506.00,1511633816931.00, 1878959,6115,D,786939.00,806122.00
Zar,20260715, 779510.00, 790000.00, 779510.00, 786939.00,3198065624483.00, 4063932,5340,D,760140.00,785507.00
Zar,20260714, 757000.00, 763000.00, 756000.00, 760140.00,1379134403440.00, 1814316,4401,D,747517.00,761799.00
Zar,20260713, 752000.00, 752000.00, 741657.00, 747517.00,741887800220.00, 992469,3809,D,756017.00,748000.00
Zar,20260712, 753000.00, 759950.00, 752002.00, 756017.00,1901783936115.00, 2515530,6916,D,751072.00,753110.00
Zar,20260711, 740000.00, 757100.00, 737001.00, 751072.00,3787161635337.00, 5042341,5188,D,756184.00,746002.00
Zar,20260708, 751000.00, 759999.00, 750000.00, 756184.00,2119217564214.00, 2802517,6395,D,738297.00,753800.00
Zar,20260707, 732100.00, 744989.00, 732100.00, 738297.00,2298627202876.00, 3113420,5956,D,723362.00,744001.00
Zar,20260701, 719950.00, 726127.00, 719233.00, 723362.00,2153202076287.00, 2976657,4385,D,708357.00,723400.00
Zar,20260630, 704424.00, 714444.00, 701001.00, 708357.00,879455396077.00, 1241543,3160,D,704423.00,709990.00
Zar,20260629, 712928.00, 712928.00, 700001.00, 704423.00,927960889373.00, 1317335,4050,D,712661.00,700004.00
Zar,20260628, 699178.00, 723050.00, 699178.00, 712661.00,1448408964440.00, 2032396,5311,D,688332.00,720630.00
Zar,20260627, 690874.00, 690950.00, 685855.00, 688332.00,494803345780.00, 718844,2478,D,674704.00,686530.00
Zar,20260623, 675101.00, 680599.00, 671000.00, 674704.00,525920833630.00, 779484,2671,D,680600.00,675002.00
Zar,20260622, 675002.00, 685320.00, 675002.00, 680600.00,414361970017.00, 608819,2654,D,680348.00,675875.00
Zar,20260621, 695203.00, 695203.00, 675441.00, 680348.00,437493343993.00, 643043,3593,D,698697.00,676600.00
Zar,20260620, 707000.00, 708300.00, 690000.00, 698697.00,908126179071.00, 1299743,5149,D,691476.00,698500.00
Zar,20260617, 682807.00, 697990.00, 682807.00, 691476.00,918828568818.00, 1328794,5234,D,682795.00,690141.00
Zar,20260616, 691500.00, 694000.00, 665552.00, 682795.00,1192595116366.00, 1746638,6863,D,704185.00,672877.00
Zar,20260615, 700000.00, 709999.00, 688000.00, 704185.00,1308478742823.00, 1858147,5452,D,717622.00,701667.00
Zar,20260614, 713000.00, 730700.00, 707998.00, 717622.00,1556847266515.00, 2169453,6038,D,726860.00,729365.00
Zar,20260613, 735000.00, 735000.00, 713813.00, 726860.00,1512756883938.00, 2081221,8275,D,756967.00,714220.00
Zar,20260610, 755000.00, 760972.00, 753181.00, 756967.00,812973260329.00, 1073987,3825,D,768557.00,760000.00
Zar,20260609, 772900.00, 772900.00, 764010.00, 768557.00,858406222635.00, 1116906,4002,D,769356.00,764550.00
Zar,20260608, 780000.00, 780000.00, 763101.00, 769356.00,918097617615.00, 1193332,3705,D,778671.00,770637.00
Zar,20260607, 770703.00, 785001.00, 770703.00, 778671.00,951326040837.00, 1221730,3816,D,766549.00,784230.00
Zar,20260606, 774000.00, 774000.00, 762667.00, 766549.00,1008148066452.00, 1315177,4261,D,786836.00,767101.00
Zar,20260603, 785300.00, 788990.00, 780000.00, 786836.00,650595134754.00, 826850,3044,D,787901.00,787000.00
Zar,20260602, 794999.00, 795001.00, 783901.00, 787901.00,1077343814515.00, 1367359,3676,D,782609.00,785300.00
Zar,20260601, 778355.00, 794860.00, 774011.00, 782609.00,1317407734714.00, 1683353,4537,D,762487.00,794002.00
Zar,20260531, 759170.00, 764566.00, 759001.00, 762487.00,931187407623.00, 1221250,2959,D,758248.00,764252.00
Zar,20260530, 765000.00, 765000.00, 753301.00, 758248.00,1093756671577.00, 1442478,4849,D,768376.00,760340.00
Zar,20260526, 773999.00, 773999.00, 765126.00, 768376.00,1148094213967.00, 1494182,4791,D,785426.00,769996.00
Zar,20260525, 797001.00, 797499.00, 764461.00, 785426.00,2129042281720.00, 2710683,6977,D,764380.00,770999.00
Zar,20260524, 769500.00, 775000.00, 754506.00, 764380.00,1775470691450.00, 2322758,6968,D,801386.00,773999.00
Zar,20260523, 818200.00, 818200.00, 796381.00, 801386.00,1339142694336.00, 1671033,7319,D,821525.00,801149.00
Zar,20260520, 811900.00, 825990.00, 811595.00, 821525.00,1196627849230.00, 1456594,4493,D,812684.00,822300.00
Zar,20260519, 813988.00, 815990.00, 810521.00, 812684.00,711222050059.00, 875152,3609,D,819358.00,810802.00
Zar,20260518, 828500.00, 829000.00, 810775.00, 819358.00,1057562856915.00, 1290721,6046,D,837773.00,813988.00
Zar,20260517, 839000.00, 842000.00, 834945.00, 837773.00,845385486013.00, 1009087,3606,D,838339.00,835539.00
Zar,20260516, 838000.00, 843999.00, 834011.00, 838339.00,1144096214919.00, 1364718,5071,D,851127.00,839299.00
Zar,20260513, 859950.00, 859950.00, 848124.00, 851127.00,1118279399499.00, 1313881,4473,D,866418.00,854000.00
Zar,20260512, 877000.00, 877000.00, 862500.00, 866418.00,1932065242194.00, 2229947,5532,D,871217.00,862944.00
Zar,20260511, 862100.00, 876543.00, 862100.00, 871217.00,3256736087995.00, 3738145,6259,D,845652.00,876477.00
Zar,20260510, 849610.00, 849885.00, 840609.00, 845652.00,2450484097863.00, 2897745,5775,D,852535.00,847950.00
Zar,20260509, 865000.00, 865000.00, 847077.00, 852535.00,2974911562047.00, 3489487,8179,D,844693.00,849599.00
Zar,20260506, 868400.00, 868400.00, 814581.00, 844693.00,4157196975715.00, 4921548,10795,D,853674.00,838900.00
Zar,20260505, 869000.00, 869000.00, 841000.00, 853674.00,3920190356690.00, 4592138,12910,D,891541.00,842420.00
